Record ID,Functional Role
197929238841,Wealth Owner / Family Member
197888750386,Wealth Owner / Family Member
197895564433,Wealth Owner / Family Member
197912052511,Wealth Owner / Family Member
197946572176,Wealth Owner / Family Member
197919485085,Wealth Owner / Family Member
227671064447,Wealth Owner / Family Member
227671245718,Wealth Owner / Family Member
227600382859,Wealth Owner / Family Member
227600453234,Wealth Owner / Family Member
227685872019,Wealth Owner / Family Member
227600382992,Wealth Owner / Family Member
227617323635,Wealth Owner / Family Member
227600331575,Wealth Owner / Family Member
227600321892,Wealth Owner / Family Member
227605580433,Wealth Owner / Family Member
227617032781,Wealth Owner / Family Member
227603719243,Wealth Owner / Family Member
227603426867,Wealth Owner / Family Member
227600142116,Wealth Owner / Family Member
227600202042,Wealth Owner / Family Member
227671998384,Wealth Owner / Family Member
227599653190,Wealth Owner / Family Member
227604660282,Wealth Owner / Family Member
227685798662,Wealth Owner / Family Member
227671008162,Wealth Owner / Family Member
227682862241,Wealth Owner / Family Member
227617077669,Wealth Owner / Family Member
227600397195,Wealth Owner / Family Member
227607250559,Wealth Owner / Family Member
227681795655,Wealth Owner / Family Member
227616985379,Wealth Owner / Family Member
197924960315,Family Office/Services Professional
197917935767,Operations/Admin Professional
197906632620,CEO/President
197910813794,Investment/Research Professional
197906323209,Investment/Research Professional
197898506649,Family Office/Services Professional
197914530207,Operations/Admin Professional
197947659326,Operations/Admin Professional
197894634044,Investment/Research Professional
197915768241,Family Office/Services Professional
197923821117,Operations/Admin Professional
197910195108,Family Office/Services Professional
197890764823,Operations/Admin Professional
227680351075,Family Office/Services Professional
227605651200,Family Office/Services Professional
227599266599,Investment/Research Professional
227604834678,Family Office/Services Professional
227604591929,Family Office/Services Professional
227672174997,Family Office/Services Professional
227670079800,Family Office/Services Professional
227605663812,Family Office/Services Professional
227685742205,Family Office/Services Professional
227604870300,Family Office/Services Professional
227603684504,Family Office/Services Professional
227600478986,Family Office/Services Professional
227671544118,Family Office/Services Professional
227683587471,Family Office/Services Professional
227600296808,Family Office/Services Professional
227603624877,Family Office/Services Professional
227602579207,Family Office/Services Professional
227600536718,Wealth Analyst/Strategist
227601204615,Family Office/Services Professional
227605579847,Family Office/Services Professional
227604498821,Family Office/Services Professional
227599600402,Family Office/Services Professional
227684304049,Family Office/Services Professional
227603112281,Family Office/Services Professional
227607215143,Family Office/Services Professional
227617323907,Family Office/Services Professional
227599101534,Family Office/Services Professional
227600478750,Family Office/Services Professional
227683562765,Family Office/Services Professional
227684531500,Family Office/Services Professional
227599250985,Family Office/Services Professional
227599030325,Family Office/Services Professional
227604577851,Family Office/Services Professional
227605640058,Wealth Analyst/Strategist
227683751856,Family Office/Services Professional
227604670607,Family Office/Services Professional
227602635582,Family Office/Services Professional
227603648267,Family Office/Services Professional
227617077860,Family Office/Services Professional
227601094439,Family Office/Services Professional
227603706642,Family Office/Services Professional
227616973957,Family Office/Services Professional
227606850475,Family Office/Services Professional
227600297995,Family Office/Services Professional
227794741323,Family Office/Services Professional
227599641765,Family Office/Services Professional
227600536967,Family Office/Services Professional
227600478804,Family Office/Services Professional
227617044224,Family Office/Services Professional
227603549803,Family Office/Services Professional
227617044100,Family Office/Services Professional
227600178701,Family Office/Services Professional
227600443797,Business Development Professional
227600297901,Family Office/Services Professional
227601343059,Family Office/Services Professional
227603718453,Family Office/Services Professional
227617043875,Investment/Research Professional
227616865394,Wealth Analyst/Strategist
227671626584,Family Office/Services Professional
227598830648,Family Office/Services Professional
227600355936,Family Office/Services Professional
227602624283,Family Office/Services Professional
227599284516,Family Office/Services Professional
227605368706,Family Office/Services Professional
227683959823,Family Office/Services Professional
227604870955,Family Office/Services Professional
227681466267,Family Office/Services Professional
227616751644,Family Office/Services Professional
227601094424,Family Office/Services Professional
227602557033,Family Office/Services Professional
227684544413,Family Office/Services Professional
227605663337,Wealth Analyst/Strategist
227603515034,Family Office/Services Professional
227671847819,Family Office/Services Professional
227672381202,Family Office/Services Professional
227671817883,Family Office/Services Professional
227604114582,Family Office/Services Professional
227605627144,Wealth Analyst/Strategist
227600383263,Family Office/Services Professional
227604498792,Family Office/Services Professional
227603515000,Family Office/Services Professional
227603602016,Family Office/Services Professional
227617298544,Family Office/Services Professional
227603706536,Family Office/Services Professional
227671230318,Family Office/Services Professional
227616962585,Family Office/Services Professional
227601078684,Family Office/Services Professional
227604235436,Family Office/Services Professional
227671093393,Family Office/Services Professional
227604861736,Family Office/Services Professional
227671183794,Family Office/Services Professional
227604498060,Family Office/Services Professional
227599689303,Family Office/Services Professional
227599702064,Family Office/Services Professional
227603683690,Family Office/Services Professional
227601230981,Family Office/Services Professional
227604114524,Family Office/Services Professional
227684911168,Family Office/Services Professional
227672144205,Family Office/Services Professional
227603489110,Family Office/Services Professional
227606839156,Family Office/Services Professional
227605569664,Family Office/Services Professional
227616751537,Family Office/Services Professional
227683762830,Family Office/Services Professional
227685074802,Family Office/Services Professional
227671550751,Family Office/Services Professional
227605663051,Investment/Research Professional
227683212411,Wealth Analyst/Strategist
227671093571,Family Office/Services Professional
227672359760,Family Office/Services Professional
227672174474,Family Office/Services Professional
227605592462,Family Office/Services Professional
227604869691,Family Office/Services Professional
227617021772,Family Office/Services Professional
227605650547,Family Office/Services Professional
227684545580,Family Office/Services Professional
227616985170,Family Office/Services Professional
227600309555,Family Office/Services Professional
227602579472,Family Office/Services Professional
227685718963,Family Office/Services Professional
227600257417,Investment/Research Professional
227672164465,Family Office/Services Professional
227672206085,Investment/Research Professional
227671211577,Investment/Research Professional
227604247481,Family Office/Services Professional
227603499283,Family Office/Services Professional
227605367583,Wealth Analyst/Strategist
227605616052,Family Office/Services Professional
227672144164,Investment/Research Professional
227600309570,Family Office/Services Professional
227605616136,Investment/Research Professional
227671266670,Investment/Research Professional
227600094620,Family Office/Services Professional
227681466236,Family Office/Services Professional
227599600434,Family Office/Services Professional
227602546610,Investment/Research Professional
227604486920,Investment/Research Professional
227602601751,Wealth Analyst/Strategist
227671284068,Family Office/Services Professional
227685829378,Family Office/Services Professional
227600094750,Family Office/Services Professional
227684143787,Family Office/Services Professional
227600398206,Family Office/Services Professional
227599701844,Investment/Research Professional
227605650454,Family Office/Services Professional
227672588078,Family Office/Services Professional
227605840181,Family Office/Services Professional
227601160984,Family Office/Services Professional
227602579499,Family Office/Services Professional
227601126047,Family Office/Services Professional
227600467586,Family Office/Services Professional
227684567961,Family Office/Services Professional
227600202277,Family Office/Services Professional
